"","sex","race","ethnic_origin","age","year","quarter","n_persons","median_weekly_earn"
"1","Both Sexes","All Races","All Origins","16 years and over",2010,1,96821000,754
"2","Both Sexes","All Races","All Origins","16 years and over",2010,2,99798000,740
"3","Both Sexes","All Races","All Origins","16 years and over",2010,3,101385000,740
"4","Both Sexes","All Races","All Origins","16 years and over",2010,4,100120000,752
"5","Both Sexes","All Races","All Origins","16 years and over",2011,1,98329000,755
"6","Both Sexes","All Races","All Origins","16 years and over",2011,2,100593000,753
"7","Both Sexes","All Races","All Origins","16 years and over",2011,3,101447000,753
"8","Both Sexes","All Races","All Origins","16 years and over",2011,4,101458000,764
"9","Both Sexes","All Races","All Origins","16 years and over",2012,1,100830000,769
"10","Both Sexes","All Races","All Origins","16 years and over",2012,2,102769000,771
"11","Both Sexes","All Races","All Origins","16 years and over",2012,3,103577000,758
"12","Both Sexes","All Races","All Origins","16 years and over",2012,4,103819000,775
"13","Both Sexes","All Races","All Origins","16 years and over",2013,1,102606000,773
"14","Both Sexes","All Races","All Origins","16 years and over",2013,2,104194000,776
"15","Both Sexes","All Races","All Origins","16 years and over",2013,3,105459000,771
"16","Both Sexes","All Races","All Origins","16 years and over",2013,4,104791000,786
"17","Both Sexes","All Races","All Origins","16 years and over",2014,1,104327000,796
"18","Both Sexes","All Races","All Origins","16 years and over",2014,2,106555000,780
"19","Both Sexes","All Races","All Origins","16 years and over",2014,3,107855000,790
"20","Both Sexes","All Races","All Origins","16 years and over",2014,4,107368000,799
"21","Both Sexes","All Races","All Origins","16 years and over",2015,1,107194000,808
"22","Both Sexes","All Races","All Origins","16 years and over",2015,2,108769000,801
"23","Both Sexes","All Races","All Origins","16 years and over",2015,3,110446000,803
"24","Both Sexes","All Races","All Origins","16 years and over",2015,4,109913000,825
"25","Both Sexes","All Races","All Origins","16 years and over",2016,1,109147000,830
"26","Both Sexes","All Races","All Origins","16 years and over",2016,2,111166000,824
"27","Both Sexes","All Races","All Origins","16 years and over",2016,3,112784000,827
"28","Both Sexes","All Races","All Origins","16 years and over",2016,4,111268000,849
"29","Both Sexes","All Races","All Origins","16 years and over",2017,1,110706000,865
"30","Both Sexes","All Races","All Origins","16 years and over",2017,2,113372000,859
"31","Both Sexes","All Races","All Origins","16 years and over",2017,3,114859000,859
"32","Both Sexes","All Races","All Origins","16 years and over",2017,4,114151000,857
"33","Both Sexes","All Races","All Origins","16 years and over",2018,1,113396000,881
"34","Both Sexes","All Races","All Origins","16 years and over",2018,2,115758000,876
"35","Both Sexes","All Races","All Origins","16 years and over",2018,3,117184000,887
"36","Both Sexes","All Races","All Origins","16 years and over",2018,4,115928000,900
"37","Both Sexes","All Races","All Origins","16 years and over",2019,1,116123000,905
"38","Both Sexes","All Races","All Origins","16 years and over",2019,2,117567000,908
"39","Both Sexes","All Races","All Origins","16 years and over",2019,3,118358000,919
"40","Both Sexes","All Races","All Origins","16 years and over",2019,4,118286000,936
"41","Both Sexes","All Races","All Origins","16 years and over",2020,1,115930000,957
"42","Both Sexes","All Races","All Origins","16 years and over",2020,2,104487000,1002
"43","Both Sexes","All Races","All Origins","16 years and over",2020,3,109652000,994
"44","Both Sexes","All Races","All Origins","16 years and over",2020,4,111480000,984
"45","Men","All Races","All Origins","16 years and over",2010,1,53028000,844
"46","Men","All Races","All Origins","16 years and over",2010,2,55235000,810
"47","Men","All Races","All Origins","16 years and over",2010,3,56473000,813
"48","Men","All Races","All Origins","16 years and over",2010,4,55500000,830
"49","Men","All Races","All Origins","16 years and over",2011,1,54251000,829
"50","Men","All Races","All Origins","16 years and over",2011,2,56053000,825
"51","Men","All Races","All Origins","16 years and over",2011,3,56900000,827
"52","Men","All Races","All Origins","16 years and over",2011,4,56678000,843
"53","Men","All Races","All Origins","16 years and over",2012,1,56022000,848
"54","Men","All Races","All Origins","16 years and over",2012,2,57319000,865
"55","Men","All Races","All Origins","16 years and over",2012,3,58069000,828
"56","Men","All Races","All Origins","16 years and over",2012,4,57735000,875
"57","Men","All Races","All Origins","16 years and over",2013,1,56829000,867
"58","Men","All Races","All Origins","16 years and over",2013,2,58164000,860
"59","Men","All Races","All Origins","16 years and over",2013,3,58990000,847
"60","Men","All Races","All Origins","16 years and over",2013,4,57995000,869
"61","Men","All Races","All Origins","16 years and over",2014,1,57654000,872
"62","Men","All Races","All Origins","16 years and over",2014,2,59714000,857
"63","Men","All Races","All Origins","16 years and over",2014,3,60502000,870
"64","Men","All Races","All Origins","16 years and over",2014,4,59930000,882
"65","Men","All Races","All Origins","16 years and over",2015,1,59361000,895
"66","Men","All Races","All Origins","16 years and over",2015,2,60638000,886
"67","Men","All Races","All Origins","16 years and over",2015,3,61974000,889
"68","Men","All Races","All Origins","16 years and over",2015,4,61013000,907
"69","Men","All Races","All Origins","16 years and over",2016,1,60639000,912
"70","Men","All Races","All Origins","16 years and over",2016,2,62045000,909
"71","Men","All Races","All Origins","16 years and over",2016,3,63104000,911
"72","Men","All Races","All Origins","16 years and over",2016,4,61933000,927
"73","Men","All Races","All Origins","16 years and over",2017,1,61488000,950
"74","Men","All Races","All Origins","16 years and over",2017,2,63222000,934
"75","Men","All Races","All Origins","16 years and over",2017,3,64179000,937
"76","Men","All Races","All Origins","16 years and over",2017,4,63033000,946
"77","Men","All Races","All Origins","16 years and over",2018,1,63037000,965
"78","Men","All Races","All Origins","16 years and over",2018,2,64437000,959
"79","Men","All Races","All Origins","16 years and over",2018,3,65216000,973
"80","Men","All Races","All Origins","16 years and over",2018,4,63879000,993
"81","Men","All Races","All Origins","16 years and over",2019,1,64075000,1004
"82","Men","All Races","All Origins","16 years and over",2019,2,65354000,1000
"83","Men","All Races","All Origins","16 years and over",2019,3,65655000,1002
"84","Men","All Races","All Origins","16 years and over",2019,4,64942000,1022
"85","Men","All Races","All Origins","16 years and over",2020,1,63555000,1066
"86","Men","All Races","All Origins","16 years and over",2020,2,57994000,1087
"87","Men","All Races","All Origins","16 years and over",2020,3,60699000,1104
"88","Men","All Races","All Origins","16 years and over",2020,4,61396000,1072
"89","Women","All Races","All Origins","16 years and over",2010,1,43794000,665
"90","Women","All Races","All Origins","16 years and over",2010,2,44562000,672
"91","Women","All Races","All Origins","16 years and over",2010,3,44912000,662
"92","Women","All Races","All Origins","16 years and over",2010,4,44620000,679
"93","Women","All Races","All Origins","16 years and over",2011,1,44077000,683
"94","Women","All Races","All Origins","16 years and over",2011,2,44539000,689
"95","Women","All Races","All Origins","16 years and over",2011,3,44548000,673
"96","Women","All Races","All Origins","16 years and over",2011,4,44779000,688
"97","Women","All Races","All Origins","16 years and over",2012,1,44808000,697
"98","Women","All Races","All Origins","16 years and over",2012,2,45450000,689
"99","Women","All Races","All Origins","16 years and over",2012,3,45508000,685
"100","Women","All Races","All Origins","16 years and over",2012,4,46084000,692
"101","Women","All Races","All Origins","16 years and over",2013,1,45777000,704
"102","Women","All Races","All Origins","16 years and over",2013,2,46030000,707
"103","Women","All Races","All Origins","16 years and over",2013,3,46469000,698
"104","Women","All Races","All Origins","16 years and over",2013,4,46796000,713
"105","Women","All Races","All Origins","16 years and over",2014,1,46673000,722
"106","Women","All Races","All Origins","16 years and over",2014,2,46840000,716
"107","Women","All Races","All Origins","16 years and over",2014,3,47353000,715
"108","Women","All Races","All Origins","16 years and over",2014,4,47438000,724
"109","Women","All Races","All Origins","16 years and over",2015,1,47833000,730
"110","Women","All Races","All Origins","16 years and over",2015,2,48131000,726
"111","Women","All Races","All Origins","16 years and over",2015,3,48472000,721
"112","Women","All Races","All Origins","16 years and over",2015,4,48900000,729
"113","Women","All Races","All Origins","16 years and over",2016,1,48508000,750
"114","Women","All Races","All Origins","16 years and over",2016,2,49121000,744
"115","Women","All Races","All Origins","16 years and over",2016,3,49680000,745
"116","Women","All Races","All Origins","16 years and over",2016,4,49335000,758
"117","Women","All Races","All Origins","16 years and over",2017,1,49218000,765
"118","Women","All Races","All Origins","16 years and over",2017,2,50150000,780
"119","Women","All Races","All Origins","16 years and over",2017,3,50680000,767
"120","Women","All Races","All Origins","16 years and over",2017,4,51118000,769
"121","Women","All Races","All Origins","16 years and over",2018,1,50359000,783
"122","Women","All Races","All Origins","16 years and over",2018,2,51321000,780
"123","Women","All Races","All Origins","16 years and over",2018,3,51968000,796
"124","Women","All Races","All Origins","16 years and over",2018,4,52050000,794
"125","Women","All Races","All Origins","16 years and over",2019,1,52047000,806
"126","Women","All Races","All Origins","16 years and over",2019,2,52214000,814
"127","Women","All Races","All Origins","16 years and over",2019,3,52703000,825
"128","Women","All Races","All Origins","16 years and over",2019,4,53344000,843
"129","Women","All Races","All Origins","16 years and over",2020,1,52375000,857
"130","Women","All Races","All Origins","16 years and over",2020,2,46493000,913
"131","Women","All Races","All Origins","16 years and over",2020,3,48954000,902
"132","Women","All Races","All Origins","16 years and over",2020,4,50083000,894
"133","Both Sexes","All Races","All Origins","16 to 24 years",2010,1,7767000,443
"134","Both Sexes","All Races","All Origins","16 to 24 years",2010,2,8550000,430
"135","Both Sexes","All Races","All Origins","16 to 24 years",2010,3,9626000,422
"136","Both Sexes","All Races","All Origins","16 to 24 years",2010,4,8264000,443
"137","Both Sexes","All Races","All Origins","16 to 24 years",2011,1,8103000,448
"138","Both Sexes","All Races","All Origins","16 to 24 years",2011,2,8670000,433
"139","Both Sexes","All Races","All Origins","16 to 24 years",2011,3,9390000,432
"140","Both Sexes","All Races","All Origins","16 to 24 years",2011,4,8730000,447
"141","Both Sexes","All Races","All Origins","16 to 24 years",2012,1,8400000,448
"142","Both Sexes","All Races","All Origins","16 to 24 years",2012,2,9098000,429
"143","Both Sexes","All Races","All Origins","16 to 24 years",2012,3,9612000,437
"144","Both Sexes","All Races","All Origins","16 to 24 years",2012,4,9010000,459
"145","Both Sexes","All Races","All Origins","16 to 24 years",2013,1,8439000,459
"146","Both Sexes","All Races","All Origins","16 to 24 years",2013,2,9373000,452
"147","Both Sexes","All Races","All Origins","16 to 24 years",2013,3,10056000,430
"148","Both Sexes","All Races","All Origins","16 to 24 years",2013,4,9121000,474
"149","Both Sexes","All Races","All Origins","16 to 24 years",2014,1,8577000,465
"150","Both Sexes","All Races","All Origins","16 to 24 years",2014,2,9858000,464
"151","Both Sexes","All Races","All Origins","16 to 24 years",2014,3,10141000,480
"152","Both Sexes","All Races","All Origins","16 to 24 years",2014,4,9755000,493
"153","Both Sexes","All Races","All Origins","16 to 24 years",2015,1,9106000,480
"154","Both Sexes","All Races","All Origins","16 to 24 years",2015,2,9647000,476
"155","Both Sexes","All Races","All Origins","16 to 24 years",2015,3,10591000,491
"156","Both Sexes","All Races","All Origins","16 to 24 years",2015,4,9815000,502
"157","Both Sexes","All Races","All Origins","16 to 24 years",2016,1,9344000,502
"158","Both Sexes","All Races","All Origins","16 to 24 years",2016,2,10140000,492
"159","Both Sexes","All Races","All Origins","16 to 24 years",2016,3,11100000,497
"160","Both Sexes","All Races","All Origins","16 to 24 years",2016,4,9719000,516
"161","Both Sexes","All Races","All Origins","16 to 24 years",2017,1,9509000,516
"162","Both Sexes","All Races","All Origins","16 to 24 years",2017,2,10467000,512
"163","Both Sexes","All Races","All Origins","16 to 24 years",2017,3,11173000,514
"164","Both Sexes","All Races","All Origins","16 to 24 years",2017,4,9975000,549
"165","Both Sexes","All Races","All Origins","16 to 24 years",2018,1,9641000,555
"166","Both Sexes","All Races","All Origins","16 to 24 years",2018,2,10665000,519
"167","Both Sexes","All Races","All Origins","16 to 24 years",2018,3,11397000,539
"168","Both Sexes","All Races","All Origins","16 to 24 years",2018,4,10011000,581
"169","Both Sexes","All Races","All Origins","16 to 24 years",2019,1,10248000,579
"170","Both Sexes","All Races","All Origins","16 to 24 years",2019,2,10905000,571
"171","Both Sexes","All Races","All Origins","16 to 24 years",2019,3,11724000,572
"172","Both Sexes","All Races","All Origins","16 to 24 years",2019,4,10186000,600
"173","Both Sexes","All Races","All Origins","16 to 24 years",2020,1,9680000,588
"174","Both Sexes","All Races","All Origins","16 to 24 years",2020,2,8426000,617
"175","Both Sexes","All Races","All Origins","16 to 24 years",2020,3,9716000,606
"176","Both Sexes","All Races","All Origins","16 to 24 years",2020,4,9632000,614
"177","Men","All Races","All Origins","16 to 24 years",2010,1,4209000,473
"178","Men","All Races","All Origins","16 to 24 years",2010,2,4765000,442
"179","Men","All Races","All Origins","16 to 24 years",2010,3,5454000,424
"180","Men","All Races","All Origins","16 to 24 years",2010,4,4652000,449
"181","Men","All Races","All Origins","16 to 24 years",2011,1,4418000,470
"182","Men","All Races","All Origins","16 to 24 years",2011,2,5009000,446
"183","Men","All Races","All Origins","16 to 24 years",2011,3,5433000,440
"184","Men","All Races","All Origins","16 to 24 years",2011,4,4943000,466
"185","Men","All Races","All Origins","16 to 24 years",2012,1,4786000,469
"186","Men","All Races","All Origins","16 to 24 years",2012,2,5200000,460
"187","Men","All Races","All Origins","16 to 24 years",2012,3,5576000,459
"188","Men","All Races","All Origins","16 to 24 years",2012,4,5094000,480
"189","Men","All Races","All Origins","16 to 24 years",2013,1,4727000,487
"190","Men","All Races","All Origins","16 to 24 years",2013,2,5304000,479
"191","Men","All Races","All Origins","16 to 24 years",2013,3,5733000,452
"192","Men","All Races","All Origins","16 to 24 years",2013,4,5064000,492
"193","Men","All Races","All Origins","16 to 24 years",2014,1,4871000,480
"194","Men","All Races","All Origins","16 to 24 years",2014,2,5663000,481
"195","Men","All Races","All Origins","16 to 24 years",2014,3,5827000,498
"196","Men","All Races","All Origins","16 to 24 years",2014,4,5611000,508
"197","Men","All Races","All Origins","16 to 24 years",2015,1,5067000,491
"198","Men","All Races","All Origins","16 to 24 years",2015,2,5335000,497
"199","Men","All Races","All Origins","16 to 24 years",2015,3,5992000,517
"200","Men","All Races","All Origins","16 to 24 years",2015,4,5511000,543
"201","Men","All Races","All Origins","16 to 24 years",2016,1,5278000,511
"202","Men","All Races","All Origins","16 to 24 years",2016,2,5724000,505
"203","Men","All Races","All Origins","16 to 24 years",2016,3,6181000,510
"204","Men","All Races","All Origins","16 to 24 years",2016,4,5400000,522
"205","Men","All Races","All Origins","16 to 24 years",2017,1,5335000,558
"206","Men","All Races","All Origins","16 to 24 years",2017,2,5983000,524
"207","Men","All Races","All Origins","16 to 24 years",2017,3,6343000,527
"208","Men","All Races","All Origins","16 to 24 years",2017,4,5503000,581
"209","Men","All Races","All Origins","16 to 24 years",2018,1,5482000,563
"210","Men","All Races","All Origins","16 to 24 years",2018,2,6009000,528
"211","Men","All Races","All Origins","16 to 24 years",2018,3,6363000,575
"212","Men","All Races","All Origins","16 to 24 years",2018,4,5417000,609
"213","Men","All Races","All Origins","16 to 24 years",2019,1,5546000,605
"214","Men","All Races","All Origins","16 to 24 years",2019,2,6100000,601
"215","Men","All Races","All Origins","16 to 24 years",2019,3,6493000,601
"216","Men","All Races","All Origins","16 to 24 years",2019,4,5605000,621
"217","Men","All Races","All Origins","16 to 24 years",2020,1,5251000,593
"218","Men","All Races","All Origins","16 to 24 years",2020,2,4600000,640
"219","Men","All Races","All Origins","16 to 24 years",2020,3,5516000,631
"220","Men","All Races","All Origins","16 to 24 years",2020,4,5399000,625
"221","Women","All Races","All Origins","16 to 24 years",2010,1,3558000,422
"222","Women","All Races","All Origins","16 to 24 years",2010,2,3784000,417
"223","Women","All Races","All Origins","16 to 24 years",2010,3,4172000,419
"224","Women","All Races","All Origins","16 to 24 years",2010,4,3612000,436
"225","Women","All Races","All Origins","16 to 24 years",2011,1,3685000,426
"226","Women","All Races","All Origins","16 to 24 years",2011,2,3661000,417
"227","Women","All Races","All Origins","16 to 24 years",2011,3,3957000,422
"228","Women","All Races","All Origins","16 to 24 years",2011,4,3787000,420
"229","Women","All Races","All Origins","16 to 24 years",2012,1,3614000,421
"230","Women","All Races","All Origins","16 to 24 years",2012,2,3897000,409
"231","Women","All Races","All Origins","16 to 24 years",2012,3,4036000,414
"232","Women","All Races","All Origins","16 to 24 years",2012,4,3916000,422
"233","Women","All Races","All Origins","16 to 24 years",2013,1,3712000,419
"234","Women","All Races","All Origins","16 to 24 years",2013,2,4069000,422
"235","Women","All Races","All Origins","16 to 24 years",2013,3,4324000,414
"236","Women","All Races","All Origins","16 to 24 years",2013,4,4058000,449
"237","Women","All Races","All Origins","16 to 24 years",2014,1,3707000,434
"238","Women","All Races","All Origins","16 to 24 years",2014,2,4195000,449
"239","Women","All Races","All Origins","16 to 24 years",2014,3,4314000,448
"240","Women","All Races","All Origins","16 to 24 years",2014,4,4144000,469
"241","Women","All Races","All Origins","16 to 24 years",2015,1,4039000,461
"242","Women","All Races","All Origins","16 to 24 years",2015,2,4313000,444
"243","Women","All Races","All Origins","16 to 24 years",2015,3,4598000,442
"244","Women","All Races","All Origins","16 to 24 years",2015,4,4304000,453
"245","Women","All Races","All Origins","16 to 24 years",2016,1,4065000,488
"246","Women","All Races","All Origins","16 to 24 years",2016,2,4415000,470
"247","Women","All Races","All Origins","16 to 24 years",2016,3,4919000,480
"248","Women","All Races","All Origins","16 to 24 years",2016,4,4319000,506
"249","Women","All Races","All Origins","16 to 24 years",2017,1,4174000,489
"250","Women","All Races","All Origins","16 to 24 years",2017,2,4485000,496
"251","Women","All Races","All Origins","16 to 24 years",2017,3,4830000,500
"252","Women","All Races","All Origins","16 to 24 years",2017,4,4472000,512
"253","Women","All Races","All Origins","16 to 24 years",2018,1,4159000,545
"254","Women","All Races","All Origins","16 to 24 years",2018,2,4656000,511
"255","Women","All Races","All Origins","16 to 24 years",2018,3,5034000,515
"256","Women","All Races","All Origins","16 to 24 years",2018,4,4594000,539
"257","Women","All Races","All Origins","16 to 24 years",2019,1,4702000,539
"258","Women","All Races","All Origins","16 to 24 years",2019,2,4805000,522
"259","Women","All Races","All Origins","16 to 24 years",2019,3,5231000,538
"260","Women","All Races","All Origins","16 to 24 years",2019,4,4581000,566
"261","Women","All Races","All Origins","16 to 24 years",2020,1,4428000,582
"262","Women","All Races","All Origins","16 to 24 years",2020,2,3826000,594
"263","Women","All Races","All Origins","16 to 24 years",2020,3,4201000,583
"264","Women","All Races","All Origins","16 to 24 years",2020,4,4234000,596
"265","Both Sexes","All Races","All Origins","16 to 19 years",2010,1,715000,356
"266","Both Sexes","All Races","All Origins","16 to 19 years",2010,2,1119000,346
"267","Both Sexes","All Races","All Origins","16 to 19 years",2010,3,1383000,335
"268","Both Sexes","All Races","All Origins","16 to 19 years",2010,4,933000,360
"269","Both Sexes","All Races","All Origins","16 to 19 years",2011,1,673000,360
"270","Both Sexes","All Races","All Origins","16 to 19 years",2011,2,968000,349
"271","Both Sexes","All Races","All Origins","16 to 19 years",2011,3,1182000,356
"272","Both Sexes","All Races","All Origins","16 to 19 years",2011,4,964000,346
"273","Both Sexes","All Races","All Origins","16 to 19 years",2012,1,851000,362
"274","Both Sexes","All Races","All Origins","16 to 19 years",2012,2,1068000,357
"275","Both Sexes","All Races","All Origins","16 to 19 years",2012,3,1290000,347
"276","Both Sexes","All Races","All Origins","16 to 19 years",2012,4,864000,363
"277","Both Sexes","All Races","All Origins","16 to 19 years",2013,1,876000,372
"278","Both Sexes","All Races","All Origins","16 to 19 years",2013,2,1068000,362
"279","Both Sexes","All Races","All Origins","16 to 19 years",2013,3,1422000,369
"280","Both Sexes","All Races","All Origins","16 to 19 years",2013,4,968000,392
"281","Both Sexes","All Races","All Origins","16 to 19 years",2014,1,843000,395
"282","Both Sexes","All Races","All Origins","16 to 19 years",2014,2,1241000,365
"283","Both Sexes","All Races","All Origins","16 to 19 years",2014,3,1340000,368
"284","Both Sexes","All Races","All Origins","16 to 19 years",2014,4,1150000,387
"285","Both Sexes","All Races","All Origins","16 to 19 years",2015,1,995000,378
"286","Both Sexes","All Races","All Origins","16 to 19 years",2015,2,1083000,376
"287","Both Sexes","All Races","All Origins","16 to 19 years",2015,3,1465000,387
"288","Both Sexes","All Races","All Origins","16 to 19 years",2015,4,1079000,410
"289","Both Sexes","All Races","All Origins","16 to 19 years",2016,1,948000,394
"290","Both Sexes","All Races","All Origins","16 to 19 years",2016,2,1298000,404
"291","Both Sexes","All Races","All Origins","16 to 19 years",2016,3,1763000,401
"292","Both Sexes","All Races","All Origins","16 to 19 years",2016,4,1148000,420
"293","Both Sexes","All Races","All Origins","16 to 19 years",2017,1,1050000,426
"294","Both Sexes","All Races","All Origins","16 to 19 years",2017,2,1408000,422
"295","Both Sexes","All Races","All Origins","16 to 19 years",2017,3,1774000,417
"296","Both Sexes","All Races","All Origins","16 to 19 years",2017,4,1204000,448
"297","Both Sexes","All Races","All Origins","16 to 19 years",2018,1,1069000,435
"298","Both Sexes","All Races","All Origins","16 to 19 years",2018,2,1503000,450
"299","Both Sexes","All Races","All Origins","16 to 19 years",2018,3,1699000,437
"300","Both Sexes","All Races","All Origins","16 to 19 years",2018,4,1257000,472
"301","Both Sexes","All Races","All Origins","16 to 19 years",2019,1,1270000,472
"302","Both Sexes","All Races","All Origins","16 to 19 years",2019,2,1408000,460
"303","Both Sexes","All Races","All Origins","16 to 19 years",2019,3,1768000,487
"304","Both Sexes","All Races","All Origins","16 to 19 years",2019,4,1310000,494
"305","Both Sexes","All Races","All Origins","16 to 19 years",2020,1,1316000,477
"306","Both Sexes","All Races","All Origins","16 to 19 years",2020,2,1169000,506
"307","Both Sexes","All Races","All Origins","16 to 19 years",2020,3,1533000,498
"308","Both Sexes","All Races","All Origins","16 to 19 years",2020,4,1327000,503
"309","Men","All Races","All Origins","16 to 19 years",2010,1,423000,349
"310","Men","All Races","All Origins","16 to 19 years",2010,2,659000,356
"311","Men","All Races","All Origins","16 to 19 years",2010,3,856000,343
"312","Men","All Races","All Origins","16 to 19 years",2010,4,588000,377
"313","Men","All Races","All Origins","16 to 19 years",2011,1,396000,374
"314","Men","All Races","All Origins","16 to 19 years",2011,2,602000,370
"315","Men","All Races","All Origins","16 to 19 years",2011,3,682000,370
"316","Men","All Races","All Origins","16 to 19 years",2011,4,550000,367
"317","Men","All Races","All Origins","16 to 19 years",2012,1,485000,376
"318","Men","All Races","All Origins","16 to 19 years",2012,2,648000,372
"319","Men","All Races","All Origins","16 to 19 years",2012,3,793000,360
"320","Men","All Races","All Origins","16 to 19 years",2012,4,485000,393
"321","Men","All Races","All Origins","16 to 19 years",2013,1,495000,400
"322","Men","All Races","All Origins","16 to 19 years",2013,2,619000,373
"323","Men","All Races","All Origins","16 to 19 years",2013,3,824000,381
"324","Men","All Races","All Origins","16 to 19 years",2013,4,583000,407
"325","Men","All Races","All Origins","16 to 19 years",2014,1,509000,410
"326","Men","All Races","All Origins","16 to 19 years",2014,2,766000,372
"327","Men","All Races","All Origins","16 to 19 years",2014,3,809000,382
"328","Men","All Races","All Origins","16 to 19 years",2014,4,718000,406
"329","Men","All Races","All Origins","16 to 19 years",2015,1,619000,394
"330","Men","All Races","All Origins","16 to 19 years",2015,2,609000,382
"331","Men","All Races","All Origins","16 to 19 years",2015,3,813000,419
"332","Men","All Races","All Origins","16 to 19 years",2015,4,601000,431
"333","Men","All Races","All Origins","16 to 19 years",2016,1,561000,408
"334","Men","All Races","All Origins","16 to 19 years",2016,2,730000,422
"335","Men","All Races","All Origins","16 to 19 years",2016,3,1045000,414
"336","Men","All Races","All Origins","16 to 19 years",2016,4,642000,449
"337","Men","All Races","All Origins","16 to 19 years",2017,1,629000,482
"338","Men","All Races","All Origins","16 to 19 years",2017,2,862000,440
"339","Men","All Races","All Origins","16 to 19 years",2017,3,995000,437
"340","Men","All Races","All Origins","16 to 19 years",2017,4,687000,488
"341","Men","All Races","All Origins","16 to 19 years",2018,1,644000,453
"342","Men","All Races","All Origins","16 to 19 years",2018,2,918000,465
"343","Men","All Races","All Origins","16 to 19 years",2018,3,1062000,462
"344","Men","All Races","All Origins","16 to 19 years",2018,4,724000,501
"345","Men","All Races","All Origins","16 to 19 years",2019,1,714000,488
"346","Men","All Races","All Origins","16 to 19 years",2019,2,838000,507
"347","Men","All Races","All Origins","16 to 19 years",2019,3,1012000,507
"348","Men","All Races","All Origins","16 to 19 years",2019,4,790000,513
"349","Men","All Races","All Origins","16 to 19 years",2020,1,705000,483
"350","Men","All Races","All Origins","16 to 19 years",2020,2,701000,518
"351","Men","All Races","All Origins","16 to 19 years",2020,3,943000,513
"352","Men","All Races","All Origins","16 to 19 years",2020,4,852000,543
"353","Women","All Races","All Origins","16 to 19 years",2010,1,293000,377
"354","Women","All Races","All Origins","16 to 19 years",2010,2,459000,333
"355","Women","All Races","All Origins","16 to 19 years",2010,3,526000,326
"356","Women","All Races","All Origins","16 to 19 years",2010,4,345000,335
"357","Women","All Races","All Origins","16 to 19 years",2011,1,277000,346
"358","Women","All Races","All Origins","16 to 19 years",2011,2,366000,321
"359","Women","All Races","All Origins","16 to 19 years",2011,3,5e+05,338
"360","Women","All Races","All Origins","16 to 19 years",2011,4,414000,318
"361","Women","All Races","All Origins","16 to 19 years",2012,1,366000,347
"362","Women","All Races","All Origins","16 to 19 years",2012,2,420000,322
"363","Women","All Races","All Origins","16 to 19 years",2012,3,497000,325
"364","Women","All Races","All Origins","16 to 19 years",2012,4,379000,329
"365","Women","All Races","All Origins","16 to 19 years",2013,1,382000,339
"366","Women","All Races","All Origins","16 to 19 years",2013,2,449000,326
"367","Women","All Races","All Origins","16 to 19 years",2013,3,598000,352
"368","Women","All Races","All Origins","16 to 19 years",2013,4,385000,370
"369","Women","All Races","All Origins","16 to 19 years",2014,1,333000,369
"370","Women","All Races","All Origins","16 to 19 years",2014,2,475000,356
"371","Women","All Races","All Origins","16 to 19 years",2014,3,531000,345
"372","Women","All Races","All Origins","16 to 19 years",2014,4,432000,358
"373","Women","All Races","All Origins","16 to 19 years",2015,1,376000,356
"374","Women","All Races","All Origins","16 to 19 years",2015,2,474000,366
"375","Women","All Races","All Origins","16 to 19 years",2015,3,653000,354
"376","Women","All Races","All Origins","16 to 19 years",2015,4,479000,389
"377","Women","All Races","All Origins","16 to 19 years",2016,1,387000,368
"378","Women","All Races","All Origins","16 to 19 years",2016,2,568000,390
"379","Women","All Races","All Origins","16 to 19 years",2016,3,717000,382
"380","Women","All Races","All Origins","16 to 19 years",2016,4,506000,402
"381","Women","All Races","All Origins","16 to 19 years",2017,1,421000,394
"382","Women","All Races","All Origins","16 to 19 years",2017,2,546000,404
"383","Women","All Races","All Origins","16 to 19 years",2017,3,780000,403
"384","Women","All Races","All Origins","16 to 19 years",2017,4,517000,408
"385","Women","All Races","All Origins","16 to 19 years",2018,1,425000,417
"386","Women","All Races","All Origins","16 to 19 years",2018,2,585000,424
"387","Women","All Races","All Origins","16 to 19 years",2018,3,637000,405
"388","Women","All Races","All Origins","16 to 19 years",2018,4,534000,437
"389","Women","All Races","All Origins","16 to 19 years",2019,1,556000,444
"390","Women","All Races","All Origins","16 to 19 years",2019,2,570000,407
"391","Women","All Races","All Origins","16 to 19 years",2019,3,756000,439
"392","Women","All Races","All Origins","16 to 19 years",2019,4,520000,451
"393","Women","All Races","All Origins","16 to 19 years",2020,1,611000,464
"394","Women","All Races","All Origins","16 to 19 years",2020,2,469000,481
"395","Women","All Races","All Origins","16 to 19 years",2020,3,589000,480
"396","Women","All Races","All Origins","16 to 19 years",2020,4,475000,438
"397","Both Sexes","All Races","All Origins","20 to 24 years",2010,1,7052000,457
"398","Both Sexes","All Races","All Origins","20 to 24 years",2010,2,7431000,450
"399","Both Sexes","All Races","All Origins","20 to 24 years",2010,3,8243000,446
"400","Both Sexes","All Races","All Origins","20 to 24 years",2010,4,7331000,465
"401","Both Sexes","All Races","All Origins","20 to 24 years",2011,1,7429000,459
"402","Both Sexes","All Races","All Origins","20 to 24 years",2011,2,7702000,451
"403","Both Sexes","All Races","All Origins","20 to 24 years",2011,3,8208000,448
"404","Both Sexes","All Races","All Origins","20 to 24 years",2011,4,7766000,467
