"","industry","major_occupation","minor_occupation","race_gender","industry_total","employ_n","year"
"2508",NA,"Production, transportation, and material moving occupations","Transportation and material moving occupations","Black or African American",NA,NA,2019
"2509","Asian","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Black or African American",NA,NA,2019
"2510","Asian","Management, professional, and related occupations","Professional and related occupations","Black or African American",NA,NA,2019
"2511","Asian","Service occupations","Protective service occupations","Black or African American",NA,NA,2019
"2512","Asian","Service occupations","Service occupations, except protective","Black or African American",NA,NA,2019
"2513","Asian","Sales and office occupations","Sales and related occupations","Black or African American",NA,NA,2019
"2514","Asian","Sales and office occupations","Office and administrative support occupations","Black or African American",NA,NA,2019
"2515","Asian","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Black or African American",NA,NA,2019
"2516","Asian","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Black or African American",NA,NA,2019
"2517","Asian","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Black or African American",NA,NA,2019
"2518","Asian","Production, transportation, and material moving occupations","Production occupations","Black or African American",NA,NA,2019
"2519","Asian","Production, transportation, and material moving occupations","Transportation and material moving occupations","Black or African American",NA,NA,2019
"2520","Agriculture and related","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",40000,10000,2019
"2521","Agriculture and related","Management, professional, and related occupations","Professional and related occupations","Asian",40000,1000,2019
"2522","Agriculture and related","Service occupations","Protective service occupations","Asian",40000,0,2019
"2523","Agriculture and related","Service occupations","Service occupations, except protective","Asian",40000,1000,2019
"2524","Agriculture and related","Sales and office occupations","Sales and related occupations","Asian",40000,0,2019
"2525","Agriculture and related","Sales and office occupations","Office and administrative support occupations","Asian",40000,5000,2019
"2526","Agriculture and related","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",40000,17000,2019
"2527","Agriculture and related","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",40000,0,2019
"2528","Agriculture and related","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",40000,1000,2019
"2529","Agriculture and related","Production, transportation, and material moving occupations","Production occupations","Asian",40000,1000,2019
"2530","Agriculture and related","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",40000,4000,2019
"2531","Mining, quarrying, and oil and gas extraction","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",28000,3000,2019
"2532","Mining, quarrying, and oil and gas extraction","Management, professional, and related occupations","Professional and related occupations","Asian",28000,19000,2019
"2533","Mining, quarrying, and oil and gas extraction","Service occupations","Protective service occupations","Asian",28000,0,2019
"2534","Mining, quarrying, and oil and gas extraction","Service occupations","Service occupations, except protective","Asian",28000,0,2019
"2535","Mining, quarrying, and oil and gas extraction","Sales and office occupations","Sales and related occupations","Asian",28000,0,2019
"2536","Mining, quarrying, and oil and gas extraction","Sales and office occupations","Office and administrative support occupations","Asian",28000,5000,2019
"2537","Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",28000,0,2019
"2538","Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",28000,1000,2019
"2539","Mining, quarrying, and oil and gas extraction","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",28000,0,2019
"2540","Mining, quarrying, and oil and gas extraction","Production, transportation, and material moving occupations","Production occupations","Asian",28000,0,2019
"2541","Mining, quarrying, and oil and gas extraction","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",28000,0,2019
"2542","Construction","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",219000,65000,2019
"2543","Construction","Management, professional, and related occupations","Professional and related occupations","Asian",219000,21000,2019
"2544","Construction","Service occupations","Protective service occupations","Asian",219000,0,2019
"2545","Construction","Service occupations","Service occupations, except protective","Asian",219000,1000,2019
"2546","Construction","Sales and office occupations","Sales and related occupations","Asian",219000,1000,2019
"2547","Construction","Sales and office occupations","Office and administrative support occupations","Asian",219000,9000,2019
"2548","Construction","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",219000,0,2019
"2549","Construction","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",219000,98000,2019
"2550","Construction","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",219000,17000,2019
"2551","Construction","Production, transportation, and material moving occupations","Production occupations","Asian",219000,4000,2019
"2552","Construction","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",219000,2000,2019
"2553","Manufacturing","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",1069000,194000,2019
"2554","Manufacturing","Management, professional, and related occupations","Professional and related occupations","Asian",1069000,354000,2019
"2555","Manufacturing","Service occupations","Protective service occupations","Asian",1069000,3000,2019
"2556","Manufacturing","Service occupations","Service occupations, except protective","Asian",1069000,10000,2019
"2557","Manufacturing","Sales and office occupations","Sales and related occupations","Asian",1069000,25000,2019
"2558","Manufacturing","Sales and office occupations","Office and administrative support occupations","Asian",1069000,51000,2019
"2559","Manufacturing","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",1069000,1000,2019
"2560","Manufacturing","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",1069000,6000,2019
"2561","Manufacturing","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",1069000,20000,2019
"2562","Manufacturing","Production, transportation, and material moving occupations","Production occupations","Asian",1069000,368000,2019
"2563","Manufacturing","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",1069000,37000,2019
"2564","Durable goods","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",727000,130000,2019
"2565","Durable goods","Management, professional, and related occupations","Professional and related occupations","Asian",727000,264000,2019
"2566","Durable goods","Service occupations","Protective service occupations","Asian",727000,3000,2019
"2567","Durable goods","Service occupations","Service occupations, except protective","Asian",727000,5000,2019
"2568","Durable goods","Sales and office occupations","Sales and related occupations","Asian",727000,15000,2019
"2569","Durable goods","Sales and office occupations","Office and administrative support occupations","Asian",727000,26000,2019
"2570","Durable goods","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",727000,0,2019
"2571","Durable goods","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",727000,5000,2019
"2572","Durable goods","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",727000,16000,2019
"2573","Durable goods","Production, transportation, and material moving occupations","Production occupations","Asian",727000,246000,2019
"2574","Durable goods","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",727000,15000,2019
"2575","Nondurable goods","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",343000,64000,2019
"2576","Nondurable goods","Management, professional, and related occupations","Professional and related occupations","Asian",343000,90000,2019
"2577","Nondurable goods","Service occupations","Protective service occupations","Asian",343000,1000,2019
"2578","Nondurable goods","Service occupations","Service occupations, except protective","Asian",343000,5000,2019
"2579","Nondurable goods","Sales and office occupations","Sales and related occupations","Asian",343000,10000,2019
"2580","Nondurable goods","Sales and office occupations","Office and administrative support occupations","Asian",343000,25000,2019
"2581","Nondurable goods","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",343000,1000,2019
"2582","Nondurable goods","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",343000,1000,2019
"2583","Nondurable goods","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",343000,4000,2019
"2584","Nondurable goods","Production, transportation, and material moving occupations","Production occupations","Asian",343000,121000,2019
"2585","Nondurable goods","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",343000,22000,2019
"2586","Wholesale and retail trade","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",1119000,103000,2019
"2587","Wholesale and retail trade","Management, professional, and related occupations","Professional and related occupations","Asian",1119000,157000,2019
"2588","Wholesale and retail trade","Service occupations","Protective service occupations","Asian",1119000,2000,2019
"2589","Wholesale and retail trade","Service occupations","Service occupations, except protective","Asian",1119000,38000,2019
"2590","Wholesale and retail trade","Sales and office occupations","Sales and related occupations","Asian",1119000,504000,2019
"2591","Wholesale and retail trade","Sales and office occupations","Office and administrative support occupations","Asian",1119000,174000,2019
"2592","Wholesale and retail trade","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",1119000,3000,2019
"2593","Wholesale and retail trade","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",1119000,2000,2019
"2594","Wholesale and retail trade","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",1119000,19000,2019
"2595","Wholesale and retail trade","Production, transportation, and material moving occupations","Production occupations","Asian",1119000,35000,2019
"2596","Wholesale and retail trade","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",1119000,82000,2019
"2597","Wholesale trade","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",187000,37000,2019
"2598","Wholesale trade","Management, professional, and related occupations","Professional and related occupations","Asian",187000,20000,2019
"2599","Wholesale trade","Service occupations","Protective service occupations","Asian",187000,0,2019
"2600","Wholesale trade","Service occupations","Service occupations, except protective","Asian",187000,2000,2019
"2601","Wholesale trade","Sales and office occupations","Sales and related occupations","Asian",187000,67000,2019
"2602","Wholesale trade","Sales and office occupations","Office and administrative support occupations","Asian",187000,32000,2019
"2603","Wholesale trade","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",187000,3000,2019
"2604","Wholesale trade","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",187000,0,2019
"2605","Wholesale trade","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",187000,2000,2019
"2606","Wholesale trade","Production, transportation, and material moving occupations","Production occupations","Asian",187000,4000,2019
"2607","Wholesale trade","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",187000,22000,2019
"2608","Retail trade","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",932000,66000,2019
"2609","Retail trade","Management, professional, and related occupations","Professional and related occupations","Asian",932000,137000,2019
"2610","Retail trade","Service occupations","Protective service occupations","Asian",932000,2000,2019
"2611","Retail trade","Service occupations","Service occupations, except protective","Asian",932000,36000,2019
"2612","Retail trade","Sales and office occupations","Sales and related occupations","Asian",932000,437000,2019
"2613","Retail trade","Sales and office occupations","Office and administrative support occupations","Asian",932000,142000,2019
"2614","Retail trade","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",932000,0,2019
"2615","Retail trade","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",932000,2000,2019
"2616","Retail trade","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",932000,18000,2019
"2617","Retail trade","Production, transportation, and material moving occupations","Production occupations","Asian",932000,31000,2019
"2618","Retail trade","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",932000,61000,2019
"2619","Transportation and utilities","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",499000,50000,2019
"2620","Transportation and utilities","Management, professional, and related occupations","Professional and related occupations","Asian",499000,57000,2019
"2621","Transportation and utilities","Service occupations","Protective service occupations","Asian",499000,1000,2019
"2622","Transportation and utilities","Service occupations","Service occupations, except protective","Asian",499000,10000,2019
"2623","Transportation and utilities","Sales and office occupations","Sales and related occupations","Asian",499000,7000,2019
"2624","Transportation and utilities","Sales and office occupations","Office and administrative support occupations","Asian",499000,111000,2019
"2625","Transportation and utilities","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",499000,0,2019
"2626","Transportation and utilities","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",499000,5000,2019
"2627","Transportation and utilities","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",499000,17000,2019
"2628","Transportation and utilities","Production, transportation, and material moving occupations","Production occupations","Asian",499000,21000,2019
"2629","Transportation and utilities","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",499000,220000,2019
"2630","Information","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",235000,47000,2019
"2631","Information","Management, professional, and related occupations","Professional and related occupations","Asian",235000,151000,2019
"2632","Information","Service occupations","Protective service occupations","Asian",235000,0,2019
"2633","Information","Service occupations","Service occupations, except protective","Asian",235000,0,2019
"2634","Information","Sales and office occupations","Sales and related occupations","Asian",235000,12000,2019
"2635","Information","Sales and office occupations","Office and administrative support occupations","Asian",235000,14000,2019
"2636","Information","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",235000,0,2019
"2637","Information","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",235000,0,2019
"2638","Information","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",235000,5000,2019
"2639","Information","Production, transportation, and material moving occupations","Production occupations","Asian",235000,4000,2019
"2640","Information","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",235000,1000,2019
"2641","Financial activities","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",805000,360000,2019
"2642","Financial activities","Management, professional, and related occupations","Professional and related occupations","Asian",805000,188000,2019
"2643","Financial activities","Service occupations","Protective service occupations","Asian",805000,3000,2019
"2644","Financial activities","Service occupations","Service occupations, except protective","Asian",805000,13000,2019
"2645","Financial activities","Sales and office occupations","Sales and related occupations","Asian",805000,131000,2019
"2646","Financial activities","Sales and office occupations","Office and administrative support occupations","Asian",805000,95000,2019
"2647","Financial activities","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",805000,0,2019
"2648","Financial activities","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",805000,5000,2019
"2649","Financial activities","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",805000,7000,2019
"2650","Financial activities","Production, transportation, and material moving occupations","Production occupations","Asian",805000,2000,2019
"2651","Financial activities","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",805000,2000,2019
"2652","Professional and business services","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",1887000,568000,2019
"2653","Professional and business services","Management, professional, and related occupations","Professional and related occupations","Asian",1887000,1060000,2019
"2654","Professional and business services","Service occupations","Protective service occupations","Asian",1887000,18000,2019
"2655","Professional and business services","Service occupations","Service occupations, except protective","Asian",1887000,51000,2019
"2656","Professional and business services","Sales and office occupations","Sales and related occupations","Asian",1887000,29000,2019
"2657","Professional and business services","Sales and office occupations","Office and administrative support occupations","Asian",1887000,109000,2019
"2658","Professional and business services","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",1887000,0,2019
"2659","Professional and business services","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",1887000,6000,2019
"2660","Professional and business services","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",1887000,10000,2019
"2661","Professional and business services","Production, transportation, and material moving occupations","Production occupations","Asian",1887000,18000,2019
"2662","Professional and business services","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",1887000,17000,2019
"2663","Education and health services","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",2296000,191000,2019
"2664","Education and health services","Management, professional, and related occupations","Professional and related occupations","Asian",2296000,1498000,2019
"2665","Education and health services","Service occupations","Protective service occupations","Asian",2296000,7000,2019
"2666","Education and health services","Service occupations","Service occupations, except protective","Asian",2296000,381000,2019
"2667","Education and health services","Sales and office occupations","Sales and related occupations","Asian",2296000,5000,2019
"2668","Education and health services","Sales and office occupations","Office and administrative support occupations","Asian",2296000,180000,2019
"2669","Education and health services","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",2296000,1000,2019
"2670","Education and health services","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",2296000,2000,2019
"2671","Education and health services","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",2296000,16000,2019
"2672","Education and health services","Production, transportation, and material moving occupations","Production occupations","Asian",2296000,7000,2019
"2673","Education and health services","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",2296000,8000,2019
"2674","Leisure and hospitality","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",1005000,174000,2019
"2675","Leisure and hospitality","Management, professional, and related occupations","Professional and related occupations","Asian",1005000,37000,2019
"2676","Leisure and hospitality","Service occupations","Protective service occupations","Asian",1005000,3000,2019
"2677","Leisure and hospitality","Service occupations","Service occupations, except protective","Asian",1005000,599000,2019
"2678","Leisure and hospitality","Sales and office occupations","Sales and related occupations","Asian",1005000,93000,2019
"2679","Leisure and hospitality","Sales and office occupations","Office and administrative support occupations","Asian",1005000,61000,2019
"2680","Leisure and hospitality","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",1005000,0,2019
"2681","Leisure and hospitality","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",1005000,3000,2019
"2682","Leisure and hospitality","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",1005000,1000,2019
"2683","Leisure and hospitality","Production, transportation, and material moving occupations","Production occupations","Asian",1005000,13000,2019
"2684","Leisure and hospitality","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",1005000,21000,2019
"2685","Other services","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",639000,33000,2019
"2686","Other services","Management, professional, and related occupations","Professional and related occupations","Asian",639000,47000,2019
"2687","Other services","Service occupations","Protective service occupations","Asian",639000,1000,2019
"2688","Other services","Service occupations","Service occupations, except protective","Asian",639000,399000,2019
"2689","Other services","Sales and office occupations","Sales and related occupations","Asian",639000,27000,2019
"2690","Other services","Sales and office occupations","Office and administrative support occupations","Asian",639000,35000,2019
"2691","Other services","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",639000,0,2019
"2692","Other services","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",639000,0,2019
"2693","Other services","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",639000,48000,2019
"2694","Other services","Production, transportation, and material moving occupations","Production occupations","Asian",639000,41000,2019
"2695","Other services","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",639000,8000,2019
"2696","Other services, except private households","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",609000,33000,2019
"2697","Other services, except private households","Management, professional, and related occupations","Professional and related occupations","Asian",609000,46000,2019
"2698","Other services, except private households","Service occupations","Protective service occupations","Asian",609000,1000,2019
"2699","Other services, except private households","Service occupations","Service occupations, except protective","Asian",609000,371000,2019
"2700","Other services, except private households","Sales and office occupations","Sales and related occupations","Asian",609000,27000,2019
"2701","Other services, except private households","Sales and office occupations","Office and administrative support occupations","Asian",609000,34000,2019
"2702","Other services, except private households","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",609000,0,2019
"2703","Other services, except private households","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",609000,0,2019
"2704","Other services, except private households","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",609000,48000,2019
"2705","Other services, except private households","Production, transportation, and material moving occupations","Production occupations","Asian",609000,41000,2019
"2706","Other services, except private households","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",609000,8000,2019
"2707","Private households","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",30000,0,2019
"2708","Private households","Management, professional, and related occupations","Professional and related occupations","Asian",30000,1000,2019
"2709","Private households","Service occupations","Protective service occupations","Asian",30000,0,2019
"2710","Private households","Service occupations","Service occupations, except protective","Asian",30000,28000,2019
"2711","Private households","Sales and office occupations","Sales and related occupations","Asian",30000,0,2019
"2712","Private households","Sales and office occupations","Office and administrative support occupations","Asian",30000,1000,2019
"2713","Private households","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",30000,0,2019
"2714","Private households","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",30000,0,2019
"2715","Private households","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",30000,0,2019
"2716","Private households","Production, transportation, and material moving occupations","Production occupations","Asian",30000,0,2019
"2717","Private households","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",30000,0,2019
"2718","Public administration","Management, professional, and related occupations","Manage-ment, business, and financial operations occupations","Asian",338000,79000,2019
"2719","Public administration","Management, professional, and related occupations","Professional and related occupations","Asian",338000,134000,2019
"2720","Public administration","Service occupations","Protective service occupations","Asian",338000,31000,2019
"2721","Public administration","Service occupations","Service occupations, except protective","Asian",338000,32000,2019
"2722","Public administration","Sales and office occupations","Sales and related occupations","Asian",338000,1000,2019
"2723","Public administration","Sales and office occupations","Office and administrative support occupations","Asian",338000,47000,2019
"2724","Public administration","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","Asian",338000,1000,2019
"2725","Public administration","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","Asian",338000,4000,2019
"2726","Public administration","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","Asian",338000,2000,2019
"2727","Public administration","Production, transportation, and material moving occupations","Production occupations","Asian",338000,2000,2019
"2728","Public administration","Production, transportation, and material moving occupations","Transportation and material moving occupations","Asian",338000,6000,2019
"2729","Agriculture and related","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",2425000,1032000,2018
"2730","Agriculture and related","Management, professional, and related occupations","Professional and related occupations","TOTAL",2425000,41000,2018
"2731","Agriculture and related","Service occupations","Protective service occupations","TOTAL",2425000,14000,2018
"2732","Agriculture and related","Service occupations","Service occupations, except protective","TOTAL",2425000,84000,2018
"2733","Agriculture and related","Sales and office occupations","Sales and related occupations","TOTAL",2425000,15000,2018
"2734","Agriculture and related","Sales and office occupations","Office and administrative support occupations","TOTAL",2425000,83000,2018
"2735","Agriculture and related","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",2425000,966000,2018
"2736","Agriculture and related","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",2425000,15000,2018
"2737","Agriculture and related","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",2425000,36000,2018
"2738","Agriculture and related","Production, transportation, and material moving occupations","Production occupations","TOTAL",2425000,41000,2018
"2739","Agriculture and related","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",2425000,98000,2018
"2740","Mining, quarrying, and
oil and gas extraction","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",784000,144000,2018
"2741","Mining, quarrying, and
oil and gas extraction","Management, professional, and related occupations","Professional and related occupations","TOTAL",784000,109000,2018
"2742","Mining, quarrying, and
oil and gas extraction","Service occupations","Protective service occupations","TOTAL",784000,4000,2018
"2743","Mining, quarrying, and
oil and gas extraction","Service occupations","Service occupations, except protective","TOTAL",784000,10000,2018
"2744","Mining, quarrying, and
oil and gas extraction","Sales and office occupations","Sales and related occupations","TOTAL",784000,11000,2018
"2745","Mining, quarrying, and
oil and gas extraction","Sales and office occupations","Office and administrative support occupations","TOTAL",784000,51000,2018
"2746","Mining, quarrying, and
oil and gas extraction","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",784000,0,2018
"2747","Mining, quarrying, and
oil and gas extraction","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",784000,246000,2018
"2748","Mining, quarrying, and
oil and gas extraction","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",784000,55000,2018
"2749","Mining, quarrying, and
oil and gas extraction","Production, transportation, and material moving occupations","Production occupations","TOTAL",784000,51000,2018
"2750","Mining, quarrying, and
oil and gas extraction","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",784000,102000,2018
"2751","Construction","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",11181000,2149000,2018
"2752","Construction","Management, professional, and related occupations","Professional and related occupations","TOTAL",11181000,302000,2018
"2753","Construction","Service occupations","Protective service occupations","TOTAL",11181000,18000,2018
"2754","Construction","Service occupations","Service occupations, except protective","TOTAL",11181000,49000,2018
"2755","Construction","Sales and office occupations","Sales and related occupations","TOTAL",11181000,124000,2018
"2756","Construction","Sales and office occupations","Office and administrative support occupations","TOTAL",11181000,543000,2018
"2757","Construction","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",11181000,3000,2018
"2758","Construction","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",11181000,6992000,2018
"2759","Construction","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",11181000,585000,2018
"2760","Construction","Production, transportation, and material moving occupations","Production occupations","TOTAL",11181000,185000,2018
"2761","Construction","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",11181000,232000,2018
"2762","Manufacturing","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",15560000,2630000,2018
"2763","Manufacturing","Management, professional, and related occupations","Professional and related occupations","TOTAL",15560000,2297000,2018
"2764","Manufacturing","Service occupations","Protective service occupations","TOTAL",15560000,26000,2018
"2765","Manufacturing","Service occupations","Service occupations, except protective","TOTAL",15560000,238000,2018
"2766","Manufacturing","Sales and office occupations","Sales and related occupations","TOTAL",15560000,602000,2018
"2767","Manufacturing","Sales and office occupations","Office and administrative support occupations","TOTAL",15560000,1243000,2018
"2768","Manufacturing","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",15560000,56000,2018
"2769","Manufacturing","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",15560000,313000,2018
"2770","Manufacturing","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",15560000,710000,2018
"2771","Manufacturing","Production, transportation, and material moving occupations","Production occupations","TOTAL",15560000,6103000,2018
"2772","Manufacturing","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",15560000,1344000,2018
"2773","Durable goods","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",9831000,1661000,2018
"2774","Durable goods","Management, professional, and related occupations","Professional and related occupations","TOTAL",9831000,1649000,2018
"2775","Durable goods","Service occupations","Protective service occupations","TOTAL",9831000,12000,2018
"2776","Durable goods","Service occupations","Service occupations, except protective","TOTAL",9831000,93000,2018
"2777","Durable goods","Sales and office occupations","Sales and related occupations","TOTAL",9831000,313000,2018
"2778","Durable goods","Sales and office occupations","Office and administrative support occupations","TOTAL",9831000,783000,2018
"2779","Durable goods","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",9831000,4000,2018
"2780","Durable goods","Natural resources, construction, and maintenance occupations","Construction and extraction occupations","TOTAL",9831000,246000,2018
"2781","Durable goods","Natural resources, construction, and maintenance occupations","Installation, maintenance, and repair occupations","TOTAL",9831000,441000,2018
"2782","Durable goods","Production, transportation, and material moving occupations","Production occupations","TOTAL",9831000,3872000,2018
"2783","Durable goods","Production, transportation, and material moving occupations","Transportation and material moving occupations","TOTAL",9831000,757000,2018
"2784","Nondurable goods","Management, professional, and related occupations","Management, business, and financial operations occupations","TOTAL",5729000,969000,2018
"2785","Nondurable goods","Management, professional, and related occupations","Professional and related occupations","TOTAL",5729000,647000,2018
"2786","Nondurable goods","Service occupations","Protective service occupations","TOTAL",5729000,14000,2018
"2787","Nondurable goods","Service occupations","Service occupations, except protective","TOTAL",5729000,145000,2018
"2788","Nondurable goods","Sales and office occupations","Sales and related occupations","TOTAL",5729000,289000,2018
"2789","Nondurable goods","Sales and office occupations","Office and administrative support occupations","TOTAL",5729000,460000,2018
"2790","Nondurable goods","Natural resources, construction, and maintenance occupations","Farming, fishing, and forestry occupations","TOTAL",5729000,52000,2018
